Encoder 1,Encoder 2,Control Signal 1,Control Signal 2,PID Speed Control,Motor Speed 1,Motor Speed 2
8167,8400,0.242,-0.09000000000000008,0.0454,20.1966,19.9554
8185,8416,0.42799999999999994,0.09499999999999997,0.05573400000000015,20.372266,20.150734
8200,8430,0.11099999999999977,0.08000000000000007,0.02516300000000008,20.085837,20.105162999999997
8212,8442,0.09399999999999986,-0.03600000000000003,0.06549200000000006,20.028508000000002,20.029491999999998
8903,9128,0.5819999999999999,0.2509999999999999,0.07622399999999974,20.505776,20.327224
8917,9143,-67.706,-67.432,-0.005255000000000017,0,0
8927,9150,-0.522,-0.5460000000000002,0.08536700000000022,19.392633,19.539367000000002
8942,9165,0.16899999999999993,0.04599999999999993,0.06568900000000005,20.103311,20.111689
8955,9179,-0.5470000000000002,-0.77,0.06611199999999984,19.386888,19.296112
8973,9195,-0.46199999999999997,-0.6849999999999999,0.05633500000000004,19.481665,19.371335000000002
8986,9208,-0.47699999999999987,-0.801,0.06685999999999995,19.45614,19.26586
9002,9227,-0.492,-0.6150000000000001,0.036581999999999976,19.471418,19.421582
9018,9243,-0.40600000000000014,-0.8310000000000001,0.08760900000000035,19.506391,19.256609
9032,9258,-0.8240000000000001,-0.8470000000000001,0.016829999999999935,19.15917,19.169829999999997
9044,9274,-0.2360000000000002,-0.762,0.10835900000000004,19.655641,19.346359
9989,10250,-0.45000000000000007,-1.181,0.07949500000000022,19.470505,18.898495
