Encoder 1,Encoder 2,PID Speed Control,Motor Speed 1,Motor Speed 2
5052,5086,2.4813694956549174e-09,15.000003117466708,15.000003144065703
5062,5097,2.583368919673035e-09,15.000003124164675,15.000003150967666
5073,5108,2.5617326642191074e-09,15.000003129131741,15.000003155891461
5084,5119,2.54009640876518e-09,15.000003136571522,15.00000316328797
5093,5127,2.518460153311253e-09,15.000003142774945,15.00000316944812
5103,5137,2.4968238978573256e-09,15.00000314836019,15.000003174990093
5112,5150,2.4751876424033983e-09,15.000003154563613,15.000003181150245
5123,5163,2.2643885255746455e-09,15.000003160338022,15.00000318835759
5129,5172,2.237188837739268e-09,15.000003166547009,15.000003196366714
5683,5733,2.208134617376345e-09,15.000003170903314,15.000003202519446
5689,5739,1.9250083553856713e-09,15.00000351365746,15.000003549034592
5694,5746,2.38926102902326e-09,15.000003516284101,15.000003551971558
5707,5758,2.170425412728605e-09,15.000003520830187,15.000003557316333
5719,5772,2.2619159754100338e-09,15.000003528775022,15.000003565444146
5727,5783,2.1036621067338503e-09,15.00000353573324,15.000003573322216
5734,5793,1.878645237596288e-09,15.000003540903688,15.000003581133523
5746,5804,2.1512621604102836e-09,15.000003544958322,15.00000358573339
5753,5812,2.177843544615144e-09,15.000003551731705,15.00000359194176
5763,5825,1.954062852860261e-09,15.000003557519094,15.000003598517946
5772,5835,1.8514453046236669e-09,15.0000035638035,15.000003606451651
5782,5845,2.061007938536363e-09,15.000003570393904,15.000003612843
5792,5854,1.8978088220933383e-09,15.000003574884355,15.00000361762523
5801,5863,1.9837356006746633e-09,15.000003580980215,15.000003623274766
5811,5873,1.8835904107561416e-09,15.000003586643968,15.00000362873823
5821,5882,1.9713720806890933e-09,15.00000359459251,15.000003635625978
6395,6466,1.684536925949942e-09,15.000003599206597,15.000003640902753
6399,6470,1.202357660545772e-09,15.00000395390519,15.000004000200596
6405,6478,1.7148277944301073e-09,15.000003955247257,15.000004002567602
6415,6488,1.4817744240502861e-09,15.00000396104392,15.000004009752695
6427,6502,1.6845369117390874e-09,15.000003968877479,15.000004017373602
6437,6512,1.514538006119892e-09,15.000003974611088,15.00000402338539
6446,6524,1.3414478505779925e-09,15.000003981584143,15.000004031866801
6456,6531,1.6054100893114763e-09,15.000003988120147,15.000004037694374
6465,6540,1.4984652914051822e-09,15.000003992554344,15.000004041296501
6474,6550,1.2017394563912377e-09,15.0000039977965,15.00000404779974
6481,6557,1.4026474079997798e-09,15.0000040031592,15.000004052946078
6488,6564,1.2938480722368696e-09,15.00000400759525,15.000004057164531
6496,6572,1.2468666685805373e-09,15.000004012587661,15.00000406206298
6507,6583,1.1998849078764805e-09,15.000004018198252,15.000004067579605
6517,6592,1.215957430744652e-09,15.000004024363967,15.000004073159287
6531,6603,1.170830561392222e-09,15.000004030590881,15.000004078677769
7188,7266,1.063267406564705e-09,15.00000403811659,15.00000408598835
7193,7271,7.653053941680809e-10,15.00000444455798,15.000004494306532
7203,7282,8.382502389991942e-10,15.000004448194108,15.000004499324907
7212,7292,9.124317976727526e-10,15.000004455538072,15.000004506817232
7218,7301,7.999232121136401e-10,15.00000445997783,15.000004511650156
7229,7310,7.486143758228535e-10,15.00000446497457,15.000004517162454
7239,7321,8.858502216213538e-10,15.000004471019121,15.000004522245119
7247,7329,5.866514918295706e-10,15.000004476881928,15.000004528745887
7257,7339,6.595968731204493e-10,15.000004482372592,15.000004534382441
7267,7350,6.089060402558743e-10,15.00000448860507,15.000004540513538
7276,7362,4.951610979020416e-10,15.000004494282424,15.00000454658158
7285,7371,2.5345322463010694e-10,15.00000450008774,15.000004554376195
7291,7379,5.099973172661976e-10,15.000004505394804,15.000004559578171
7303,7389,3.319620880404273e-10,15.00000450990009,15.000004564345565
7312,7401,2.7694418314183627e-10,15.000004516755075,15.000004571708692
7323,7413,2.8436220667060756e-10,15.000004522929444,15.000004577897897
